Tempo [s],Temperatura [K],Cl,Na,NaCl
31.11666666666618,0.43782639802248186,209.0,148.0,578.0
31.133333333332846,0.4380207403394567,209.0,148.0,578.0
31.149999999999512,0.438087097153789,209.0,148.0,578.0
31.166666666666178,0.4380736639226451,209.0,148.0,578.0
31.183333333332843,0.43759075042763956,209.0,148.0,578.0
31.19999999999951,0.4374853281434587,209.0,148.0,578.0
31.216666666666175,0.4368832923333836,209.0,148.0,578.0
31.23333333333284,0.4368965851259195,209.0,148.0,578.0
31.249999999999506,0.4373948024794369,209.0,148.0,578.0
31.266666666666172,0.4375158762189157,209.0,148.0,578.0
31.283333333332838,0.43796797082263467,209.0,148.0,578.0
31.299999999999503,0.4383925372813496,209.0,148.0,578.0
31.31666666666617,0.43822301486210413,209.0,148.0,578.0
31.333333333332835,0.4379921551109939,209.0,148.0,578.0
31.3499999999995,0.43783347172245485,208.0,147.0,579.0
31.366666666666166,0.43744982979809727,208.0,147.0,579.0
31.383333333332832,0.4375519874852718,208.0,147.0,579.0
31.399999999999498,0.43702042013462944,208.0,147.0,579.0
31.416666666666163,0.436938434662745,207.0,146.0,580.0
31.43333333333283,0.43707007736114106,207.0,146.0,580.0
31.449999999999495,0.4362483614452223,207.0,146.0,580.0
31.46666666666616,0.4362774781640348,206.0,145.0,581.0
31.483333333332826,0.43584123430100513,206.0,145.0,581.0
31.499999999999492,0.43592199480091504,206.0,145.0,581.0
31.516666666666158,0.43604561072478054,206.0,145.0,581.0
31.533333333332823,0.4356954029788542,206.0,145.0,581.0
31.54999999999949,0.4358860954961164,206.0,145.0,581.0
31.566666666666155,0.4367412353793528,206.0,145.0,581.0
31.58333333333282,0.436001208159371,206.0,145.0,581.0
31.599999999999486,0.43587778028659674,206.0,145.0,581.0
31.616666666666152,0.4359883154054461,206.0,145.0,581.0
31.633333333332818,0.4355114744748249,206.0,145.0,581.0
31.649999999999483,0.4364264873208402,206.0,145.0,581.0
31.66666666666615,0.43609272406300437,206.0,145.0,581.0
31.683333333332815,0.4365756049711763,206.0,145.0,581.0
31.69999999999948,0.4370620495909014,206.0,145.0,581.0
31.716666666666146,0.4375493520120628,206.0,145.0,581.0
31.733333333332812,0.43719937736602427,206.0,145.0,581.0
31.749999999999478,0.436475632978334,206.0,145.0,581.0
31.766666666666143,0.43542505950941246,206.0,145.0,581.0
31.78333333333281,0.43580318756219455,206.0,145.0,581.0
31.799999999999475,0.4360005684551293,206.0,145.0,581.0
31.81666666666614,0.4352448061124616,206.0,145.0,581.0
31.833333333332806,0.43492170186558476,206.0,145.0,581.0
31.849999999999472,0.4350651924878326,206.0,145.0,581.0
31.866666666666138,0.4347790762021548,206.0,145.0,581.0
31.883333333332804,0.43495472951107894,206.0,145.0,581.0
31.89999999999947,0.43507670514089214,206.0,145.0,581.0
31.916666666666135,0.4348314780861694,206.0,145.0,581.0
31.9333333333328,0.4344414960973574,206.0,145.0,581.0
31.949999999999466,0.4354530422282197,205.0,143.0,583.0
31.966666666666132,0.43577662368192494,205.0,143.0,583.0
31.983333333332798,0.43664134581812486,205.0,143.0,583.0
31.999999999999464,0.4366419275591519,205.0,143.0,583.0
32.01666666666613,0.4367792367871372,205.0,143.0,583.0
32.0333333333328,0.4365530415106508,205.0,143.0,583.0
32.049999999999464,0.4366807098965544,205.0,143.0,583.0
32.06666666666613,0.43706906079116575,205.0,143.0,583.0
32.083333333332796,0.43722683454066263,205.0,143.0,583.0
32.09999999999946,0.43786542038691745,205.0,143.0,583.0
32.11666666666613,0.4379977860433257,205.0,143.0,583.0
32.13333333333279,0.4377899574076004,205.0,143.0,583.0
32.14999999999946,0.43731330591835815,205.0,143.0,583.0
32.166666666666124,0.4376171800678899,205.0,143.0,583.0
32.18333333333279,0.4379454255390476,205.0,143.0,583.0
32.199999999999456,0.4380669039339562,205.0,143.0,583.0
32.21666666666612,0.4386462530088285,205.0,143.0,583.0
32.23333333333279,0.4391756526725079,204.0,142.0,584.0
32.24999999999945,0.4392503944606666,204.0,142.0,584.0
32.26666666666612,0.4388020270098282,204.0,142.0,584.0
32.283333333332784,0.43871696204422683,204.0,142.0,584.0
32.29999999999945,0.4385853699444564,204.0,142.0,584.0
32.316666666666116,0.43835129814975143,204.0,142.0,584.0
32.33333333333278,0.4387863808723538,203.0,141.0,585.0
32.34999999999945,0.43844126189015403,203.0,141.0,585.0
32.36666666666611,0.43841764854748705,203.0,141.0,585.0
32.38333333333278,0.43867214155759693,203.0,141.0,585.0
32.399999999999444,0.4383534132034869,203.0,141.0,585.0
32.41666666666611,0.43843693637758485,203.0,141.0,585.0
32.433333333332776,0.4384444734197529,203.0,141.0,585.0
32.44999999999944,0.4383279748512101,203.0,141.0,585.0
32.46666666666611,0.43794813710887576,203.0,141.0,585.0
32.48333333333277,0.43762839271935233,203.0,141.0,585.0
